id,reference
0,47.4899
1,78.6974
2,83.87
3,55.5186
4,79.6048
5,11.8994
6,78.3093
7,61.9338
8,40.285
9,38.9242
10,50.6966
11,65.7218
12,73.9736
13,63.9762
14,35.061
15,53.261
16,31.5362
17,74.4784
18,81.7137
19,37.4417
20,66.8395
21,70.0947
22,34.7969
23,60.7
24,49.079
25,19.5797
26,12.4302
27,36.8322
28,72.6299
29,34.9725
30,77.3865
31,65.5246
32,57.2449
33,82.7012
34,54.9327
35,58.473
36,43.0158
37,74.9654
38,44.5403
39,49.9781
40,84.2402
41,83.6448
42,47.3999
43,75.8048
44,45.5488
45,43.7899
46,13.4423
47,81.1887
48,57.5822
49,36.3986
50,57.8068
51,50.0705
52,27.5285
53,51.7559
54,92.6281
55,72.759
56,74.5262
57,46.2114
58,2.68884
59,54.3019
60,39.2948
61,61.9732
62,30.4514
63,49.9824
64,68.7181
65,30.7208
66,69.1648
67,86.3098
68,50.6289
69,78.114
70,72.3295
71,68.0442
72,25.939
73,75.2387
74,60.3534
75,24.1413
76,72.5431
77,25.6515
78,85.4387
79,30.4281
80,62.4287
81,69.7877
82,46.4066
83,48.7841
84,45.0981
85,52.9275
86,45.3842
87,69.0659
88,26.1079
89,59.011
90,65.2048
91,31.0108
92,29.9206
93,34.0554
94,43.8896
95,35.9873
96,5.89704
97,60.036
98,66.0552
99,50.5911
100,49.4973
101,60.3557
102,34.6009
103,31.7333
104,54.2275
105,53.4653
106,14.1649
107,82.2209
108,70.3196
109,27.5354
110,52.9804
111,82.6759
112,51.2541
113,21.1645
114,77.8128
115,23.3039
116,75.7698
117,28.4527
118,41.5037
119,55.7536
120,46.3507
121,81.5909
122,28.9162
123,37.569
124,37.9497
125,50.7452
126,36.6823
127,53.6298
128,36.9874
129,9.5968
130,85.9899
131,68.7459
132,65.9452
133,41.6321
134,55.285
135,58.9004
136,48.3268
137,57.0987
138,78.1749
139,8.82423
140,26.9946
141,84.4022
142,2.2614
143,70.3638
144,49.652
145,34.7867
146,17.8917
147,74.1932
148,39.1701
149,41.4833
150,67.4102
151,60.8281
152,44.6837
153,62.2718
154,75.6816
155,38.4124
156,70.1411
157,54.1347
158,52.5938
159,64.2969
160,37.7378
161,72.041
162,12.9578
163,38.9661
