id,reference
0,47.3814
1,78.6483
2,83.8519
3,55.5465
4,79.5767
5,11.9455
6,78.2103
7,62.2181
8,40.4388
9,38.8795
10,50.3355
11,65.8087
12,73.9375
13,64.004
14,34.9054
15,53.1363
16,31.8768
17,74.4753
18,81.2837
19,37.5761
20,66.9395
21,69.9328
22,34.8537
23,60.4592
24,49.0281
25,20.1766
26,12.9837
27,37.5633
28,72.6137
29,34.9634
30,77.0461
31,65.5199
32,57.2734
33,82.4856
34,55.0058
35,58.5638
36,43.275
37,74.7146
38,44.4797
39,49.933
40,84.0996
41,83.5212
42,47.5353
43,75.8646
44,45.1863
45,44.264
46,11.9252
47,81.7447
48,57.969
49,36.691
50,57.8312
51,49.8022
52,27.5483
53,51.7484
54,92.8203
55,73.4985
56,74.8002
57,46.3894
58,2.60567
59,54.5355
60,39.581
61,62.3326
62,30.6149
63,50.0448
64,68.5949
65,30.4311
66,68.9375
67,86.5053
68,50.2868
69,78.0929
70,72.3941
71,67.9206
72,25.986
73,75.2233
74,60.51
75,23.431
76,72.3811
77,25.8832
78,85.3604
79,30.3247
80,62.485
81,69.3613
82,46.6789
83,48.6093
84,45.0125
85,52.8094
86,45.3554
87,68.9366
88,26.5549
89,59.2855
90,65.8088
91,31.9719
92,29.2877
93,34.3619
94,43.6605
95,35.5573
96,5.41434
97,59.9796
98,66.0051
99,50.5802
100,49.7904
101,61.0423
102,34.6847
103,31.2253
104,54.1103
105,54.7143
106,15.2699
107,82.0841
108,70.3667
109,27.8933
110,52.4733
111,82.575
112,51.8674
113,21.4406
114,78.1635
115,23.3982
116,75.8259
117,28.2925
118,41.2568
119,55.6796
120,45.9683
121,81.521
122,29.2514
123,37.6849
124,37.8894
125,50.8727
126,36.4894
127,54.041
128,36.8723
129,10.1946
130,86.0762
131,67.8149
132,65.9204
133,41.1582
134,55.2987
135,58.7952
136,48.1377
137,56.724
138,78.1953
139,8.89534
140,27.2939
141,84.4203
142,1.72625
143,70.3213
144,49.7334
145,34.648
146,18.5615
147,73.8755
148,39.1722
149,41.5252
150,67.5016
151,60.1609
152,44.9816
153,61.4605
154,75.6359
155,38.2284
156,69.9383
157,54.0392
158,52.6779
159,64.5045
160,37.543
161,71.7881
162,14.0076
163,38.8711
164,25.9909
165,35.388
166,56.8138
167,67.7549
168,37.1294
169,8.67847
170,45.9311
171,7.59899
172,35.7991
173,26.562
174,68.3736
175,28.7692
176,66.2266
177,28.785
178,75.3793
179,48.5712
180,48.3141
181,37.4908
182,66.7376
183,84.0965
184,43.0375
185,81.8004
186,57.9393
187,81.1211
188,45.877
189,46.1471
190,81.0527
191,56.0012
192,40.9611
193,92.2169
194,75.3788
195,53.1118
196,32.083
197,64.676
198,78.09
199,27.6086
200,52.9559
201,38.7948
202,38.7015
203,14.277
204,63.1654
205,24.3116
206,29.7174
207,79.3377
208,44.53
209,55.0645
210,74.8506
211,63.0983
212,55.1506
213,51.4514
214,46.9057
215,66.3178
216,56.7119
217,29.8331
218,47.9175
219,57.7149
220,8.56827
221,31.7909
222,56.7647
223,39.1208
224,59.5369
225,31.5308
226,9.60762
227,64.1866
228,34.0386
229,80.9355
230,36.3447
231,70.105
232,42.9015
233,39.3038
234,41.1887
235,46.0023
236,50.1084
237,54.6754
238,35.7447
239,53.2886
240,70.9687
241,47.0865
242,50.8979
243,57.14
244,64.1461
245,46.2593
246,5.43664
247,42.9597
248,34.7656
249,10.2389
250,53.6693
251,54.3457
252,58.4178
253,78.4111
254,74.748
255,39.2038
256,13.258
257,88.9092
258,12.7148
259,82.0224
260,69.0722
261,56.6036
262,31.346
263,48.4038
264,50.2683
265,56.2563
266,-6.52097
267,79.841
268,14.8827
269,71.7583
270,49.8793
271,51.1768
272,79.6061
273,19.1297
274,65.6889
275,46.6145
276,52.5847
277,46.4722
278,47.1446
279,44.0712
280,57.8967
281,71.8527
282,6.82616
283,35.6674
284,66.5878
285,53.9856
286,21.4647
287,55.5225
288,43.912
289,44.0488
290,26.072
291,16.325
292,29.5654
293,43.0236
294,53.9655
295,62.8628
296,34.2468
297,6.16675
298,26.6226
299,69.8088
300,42.7622
301,58.5285
302,35.1488
303,50.3318
304,7.77465
305,7.66557
306,55.1051
307,72.5512
308,52.7366
309,28.6229
310,53.3931
311,50.4383
312,31.0485
313,55.6974
314,51.9629
315,58.212
316,56.8434
317,68.5757
318,18.8803
319,2.43524
320,35.8039
321,6.12489
322,8.69751
323,41.0977
324,36.0298
325,29.3001
326,77.3974
327,55.281
328,70.6082
329,56.5459
330,50.1191
331,76.3491
332,87.3553
333,39.6686
334,34.1711
335,73.2891
336,88.9674
337,39.824
338,35.2405
339,87.5308
340,74.4141
341,40.2425
342,87.536
343,43.6671
344,9.27545
345,42.2866
346,74.934
347,76.4474
348,49.3671
349,40.8041
350,52.5873
351,64.8407
352,56.6144
353,32.2297
354,60.2631
355,38.6982
356,45.4321
357,30.0393
358,49.2838
359,54.1914
360,47.8431
361,45.0439
362,44.0445
363,67.3172
364,17.4209
365,48.2257
366,17.7863
367,60.9294
368,40.9255
369,49.1348
370,27.3914
371,22.2612
372,84.328
373,54.5696
374,51.4003
375,49.3917
376,9.18698
377,14.7733
378,37.5991
379,28.381
380,37.3918
381,1.75118
382,4.22243
383,36.3144
384,83.6672
385,47.6665
386,25.4312
387,53.9002
388,64.7664
389,49.1914
390,45.3554
391,45.8988
392,40.6776
393,13.8434
394,74.9878
395,79.6247
396,5.38644
397,57.5159
398,60.3673
399,11.0332
400,54.8204
401,39.4217
402,20.6224
403,31.1568
404,82.5761
405,14.595
406,90.2242
407,56.1012
408,48.7306
409,62.1463
410,50.888
411,43.1949
412,63.208
413,65.0326
414,80.3477
415,84.5171
416,41.4311
417,37.1032
418,47.4953
419,48.9481
420,32.2407
421,14.4853
422,-8.16706
423,57.5077
424,38.9446
425,50.859
426,75.7129
427,47.4694
428,33.1204
429,37.0469
430,35.6899
431,24.244
432,34.3559
433,2.83787
434,32.3184
435,84.1784
436,53.8666
437,37.8329
438,73.0333
439,57.1415
440,59.8624
441,19.5397
442,27.6244
443,49.6061
444,71.8057
445,54.5545
446,31.4225
447,66.9693
448,47.116
449,53.4033
450,58.2267
451,1.61771
452,36.2383
453,66.3497
454,86.5197
455,61.8257
456,36.0187
457,72.9169
458,32.9531
459,78.4879
460,29.837
461,41.174
462,55.7693
463,48.6706
464,50.6291
465,77.7349
466,29.0628
467,48.7073
468,50.2713
469,6.16064
470,80.5777
471,41.963
472,58.4269
473,50.8401
474,76.0384
475,35.0391
476,26.7251
477,36.4642
478,32.9897
479,40.4993
480,48.3251
481,65.3608
482,32.2647
483,33.7316
484,66.1143
485,67.8529
486,65.5734
487,91.8658
488,38.3491
489,46.0255
490,52.3891
491,43.9507
492,53.2356
493,39.7406
494,46.5689
495,23.5012
496,91.3018
497,34.4078
498,36.8521
499,19.418
500,48.376
501,54.6797
502,78.5916
503,48.5189
504,16.3975
505,80.3678
506,14.8545
507,28.5291
508,37.6256
509,6.1306
510,40.8586
511,48.6772
512,52.8622
513,24.6802
514,49.1612
515,40.5794
516,29.1302
517,53.1584
518,83.0328
519,35.1939
520,77.1651
521,41.8997
522,72.4864
523,11.8744
524,27.7374
525,69.452
526,21.5277
527,40.6984
528,78.5471
529,28.9896
530,70.0929
531,33.4333
532,56.6677
533,24.5397
534,31.4709
535,74.1699
536,79.0025
537,13.9122
538,46.1252
